@type,@rid,@version,repository,name,format,size,created_by,last_downloaded,last_updated,blob_created,blob_updated,@fieldTypes
d,#-2:202,0,maven-central,org/mockito/mockito-junit-jupiter/3.3.3/mockito-junit-jupiter-3.3.3.jar,maven2,4455,admin,2021-10-13 12:13:50,2021-10-13 12:13:50,2021-10-13 12:13:50,2021-10-13 12:13:50,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:203,0,maven-central,org/apache/lucene/lucene-backward-codecs/8.3.0/lucene-backward-codecs-8.3.0.jar,maven2,102269,admin,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:204,0,maven-central,org/apache/maven/plugins/maven-jar-plugin/3.0.2/maven-jar-plugin-3.0.2.jar,maven2,26994,admin,2022-08-09 11:25:57,2022-08-09 11:25:57,2021-10-13 12:13:51,2021-10-13 12:13:51,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:205,0,maven-central,org/jboss/spec/javax/jms/jboss-jms-api_2.0_spec/1.0.2.Final/jboss-jms-api_2.0_spec-1.0.2.Final.jar,maven2,51483,admin,2021-10-19 13:51:13,2021-10-19 13:51:13,2021-09-29 20:24:23,2021-09-29 20:24:23,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:206,0,maven-central,org/apache/lucene/lucene-spatial-extras/8.3.0/lucene-spatial-extras-8.3.0.jar,maven2,240314,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:207,0,maven-central,com/vaadin/external/google/android-json/0.0.20131108.vaadin1/android-json-0.0.20131108.vaadin1.jar,maven2,18279,admin,2022-01-26 08:12:58,2022-01-26 08:12:58,2021-10-13 12:13:50,2021-10-13 12:13:50,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:208,0,maven-central,org/apache/lucene/lucene-grouping/8.3.0/lucene-grouping-8.3.0.jar,maven2,90661,admin,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:209,0,maven-central,org/elasticsearch/elasticsearch-cli/7.5.2/elasticsearch-cli-7.5.2.jar,maven2,16559,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:210,0,maven-central,org/skyscreamer/jsonassert/1.5.0/jsonassert-1.5.0.jar,maven2,30299,admin,2022-01-26 08:12:58,2022-01-26 08:12:58,2021-10-13 12:13:50,2021-10-13 12:13:50,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:211,0,maven-central,org/apache/lucene/lucene-highlighter/8.3.0/lucene-highlighter-8.3.0.jar,maven2,210153,admin,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:212,0,maven-central,io/github/x-stream/mxparser/1.2.1/mxparser-1.2.1.jar,maven2,29631,admin,2021-09-07 12:03:05,2021-09-07 12:03:05,2021-09-07 12:03:05,2021-09-07 12:03:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:213,0,maven-central,org/mvel/mvel2/2.4.4.Final/mvel2-2.4.4.Final.jar,maven2,805542,admin,2021-10-13 12:13:43,2021-10-13 12:13:43,2021-09-29 20:24:23,2021-09-29 20:24:23,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:214,0,maven-central,org/xmlunit/xmlunit-core/2.7.0/xmlunit-core-2.7.0.jar,maven2,168352,admin,2021-10-13 12:13:51,2021-10-13 12:13:51,2021-10-13 12:13:51,2021-10-13 12:13:51,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:215,0,maven-central,org/jboss/errai/errai-codegen-gwt/4.6.0.Final/errai-codegen-gwt-4.6.0.Final.jar,maven2,52857,admin,2021-10-19 13:51:13,2021-10-19 13:51:13,2021-09-29 20:24:23,2021-09-29 20:24:23,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:216,0,maven-central,org/apache/lucene/lucene-queries/8.3.0/lucene-queries-8.3.0.jar,maven2,369063,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:217,0,maven-central,org/assertj/assertj-core/3.16.1/assertj-core-3.16.1.jar,maven2,4683613,admin,2021-10-13 12:13:50,2021-10-13 12:13:50,2021-10-13 12:13:50,2021-10-13 12:13:50,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:218,0,maven-central,org/apache/commons/commons-lang3/3.7/commons-lang3-3.7.jar,maven2,499634,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-10-13 12:13:52,2021-10-13 12:13:52,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:219,0,maven-central,com/carrotsearch/hppc/0.8.1/hppc-0.8.1.jar,maven2,1159086,admin,2021-10-13 12:13:06,2021-10-13 12:13:06,2021-10-13 12:13:06,2021-10-13 12:13:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:220,0,maven-central,org/springframework/spring-test/5.2.11.RELEASE/spring-test-5.2.11.RELEASE.jar,maven2,685394,admin,2021-10-13 12:13:51,2021-10-13 12:13:51,2021-10-13 12:13:51,2021-10-13 12:13:51,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:221,0,maven-central,ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar,maven2,290339,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:05,2021-09-07 12:03:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:222,0,maven-central,org/apache/lucene/lucene-misc/8.3.0/lucene-misc-8.3.0.jar,maven2,99047,admin,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:223,0,maven-central,io/netty/netty-buffer/4.1.16.Final/netty-buffer-4.1.16.Final.jar,maven2,270339,admin,2021-10-19 13:51:13,2021-10-19 13:51:13,2021-09-29 20:24:23,2021-09-29 20:24:23,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:224,0,maven-central,org/apache/lucene/lucene-queryparser/8.3.0/lucene-queryparser-8.3.0.jar,maven2,382089,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:225,0,maven-central,org/apache/lucene/lucene-join/8.3.0/lucene-join-8.3.0.jar,maven2,148880,admin,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,2021-10-13 12:13:04,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:226,0,maven-central,ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar,maven2,471901,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:227,0,maven-central,io/netty/netty-transport/4.1.16.Final/netty-transport-4.1.16.Final.jar,maven2,450438,admin,2021-10-19 13:51:13,2021-10-19 13:51:13,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:228,0,maven-central,io/netty/netty-resolver/4.1.16.Final/netty-resolver-4.1.16.Final.jar,maven2,32230,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:23,2021-09-29 20:24:23,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:229,0,maven-central,com/thoughtworks/xstream/xstream/1.4.17/xstream-1.4.17.jar,maven2,629806,admin,2021-09-07 12:03:06,2021-09-07 12:03:06,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:230,0,maven-central,org/apache/maven/plugins/maven-resources-plugin/3.0.2/maven-resources-plugin-3.0.2.jar,maven2,31708,admin,2022-08-09 11:25:57,2022-08-09 11:25:57,2021-10-13 12:13:51,2021-10-13 12:13:51,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:231,0,maven-central,org/apache/lucene/lucene-sandbox/8.3.0/lucene-sandbox-8.3.0.jar,maven2,289920,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:232,0,maven-central,io/netty/netty-common/4.1.16.Final/netty-common-4.1.16.Final.jar,maven2,563332,admin,2021-10-19 13:51:13,2021-10-19 13:51:13,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:233,0,maven-central,io/netty/netty-transport-native-unix-common/4.1.16.Final/netty-transport-native-unix-common-4.1.16.Final.jar,maven2,30868,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:234,0,maven-central,org/springframework/boot/spring-boot-starter-undertow/2.2.2.RELEASE/spring-boot-starter-undertow-2.2.2.RELEASE.jar,maven2,406,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:235,0,maven-central,org/apache/lucene/lucene-spatial3d/8.3.0/lucene-spatial3d-8.3.0.jar,maven2,306794,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:236,0,maven-central,com/h2database/h2/1.4.200/h2-1.4.200.jar,maven2,2303679,admin,2021-10-13 12:13:51,2021-10-13 12:13:51,2021-10-13 12:13:51,2021-10-13 12:13:51,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:237,0,maven-central,org/springframework/cloud/spring-cloud-commons/2.1.1.RELEASE/spring-cloud-commons-2.1.1.RELEASE.jar,maven2,151524,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:25,2021-09-29 20:24:25,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:238,0,maven-central,axis/axis-jaxrpc/1.2/axis-jaxrpc-1.2.jar,maven2,32071,admin,2022-06-22 19:41:14,2022-06-22 19:41:14,2021-09-21 10:07:22,2021-09-21 10:07:22,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:239,0,maven-central,io/netty/netty-transport-native-epoll/4.1.16.Final/netty-transport-native-epoll-4.1.16.Final-linux-x86_64.jar,maven2,139366,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:240,0,maven-central,org/bouncycastle/bcpkix-jdk15on/1.56/bcpkix-jdk15on-1.56.jar,maven2,685403,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:241,0,maven-central,org/apache/maven/plugins/maven-surefire-plugin/2.22.1/maven-surefire-plugin-2.22.1.jar,maven2,40658,admin,2022-08-09 11:25:57,2022-08-09 11:25:57,2021-10-13 12:13:51,2021-10-13 12:13:51,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:242,0,maven-central,io/netty/netty-handler/4.1.16.Final/netty-handler-4.1.16.Final.jar,maven2,372105,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:243,0,maven-central,org/jboss/xnio/xnio-api/3.3.8.Final/xnio-api-3.3.8.Final.jar,maven2,517653,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:244,0,maven-central,io/netty/netty-codec/4.1.16.Final/netty-codec-4.1.16.Final.jar,maven2,313669,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:245,0,maven-central,org/jboss/logging/jboss-logging/3.4.0.Final/jboss-logging-3.4.0.Final.jar,maven2,60201,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:246,0,maven-central,org/jboss/spec/javax/annotation/jboss-annotations-api_1.2_spec/1.0.2.Final/jboss-annotations-api_1.2_spec-1.0.2.Final.jar,maven2,19834,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:247,0,maven-central,mysql/mysql-connector-java/8.0.21/mysql-connector-java-8.0.21.jar,maven2,2397321,admin,2021-10-13 12:13:07,2021-10-13 12:13:07,2021-10-13 12:13:07,2021-10-13 12:13:07,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:248,0,maven-central,org/apache/maven/plugins/maven-site-plugin/3.7.1/maven-site-plugin-3.7.1.jar,maven2,134947,admin,2022-08-09 11:25:58,2022-08-09 11:25:58,2021-10-13 12:13:51,2021-10-13 12:13:51,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:249,0,maven-central,junit/junit/4.11/junit-4.11.jar,maven2,245039,admin,2022-06-22 19:41:05,2022-06-22 19:41:05,2021-10-13 12:13:52,2021-10-13 12:13:52,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:250,0,maven-central,org/jboss/xnio/xnio-nio/3.3.8.Final/xnio-nio-3.3.8.Final.jar,maven2,116664,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
